"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-42","s-52","s-82","s-92"
"1","VDR",2811.13822475237,7.46875389780547,0.383964874463891,19.4516592389699,2.82151736522823e-84,3.78083326940583e-80,22.3262180103923,4504.47365308499,37.6162128538206,6680.13681506029
"2","SOCS3",5028.36516155774,3.94266672177707,0.216109713406163,18.2438200469366,2.31685797590877e-74,1.55229484385888e-70,602.807886280592,8707.40161825775,624.429133373422,10178.8220083192
"3","CISH",3024.81623191131,6.07975839273294,0.338011563942575,17.986835485208,2.47070223936482e-72,1.10358033358295e-68,116.09633365404,5270.93226317214,65.828372494186,6646.40795832486
"4","PECAM1",2517.00197211394,-4.866313171727,0.289237504093115,-16.8246271761506,1.61072426541243e-63,5.39592628913162e-60,5760.16424668121,160.488516478343,3974.15288800615,173.202237290046
"5","IL4I1",2465.93860389792,5.52937212330968,0.330048518714821,16.7532099366498,5.36516068619586e-63,1.43786306390049e-59,75.9091412353338,4266.97943587488,127.89512370299,5392.97071477847
"6","LMNB1",5171.66373330547,3.27178002965911,0.20125931959457,16.2565392561697,2.00762173524868e-59,4.48368854205538e-56,973.423105253104,9822.90475969915,967.677075664535,8922.64999260509
"7","FCER2",11478.4473852243,3.64260259815242,0.236871645962841,15.3779595837479,2.30084845481186e-53,4.40448132778271e-50,1966.93980671556,20882.218807783,1443.52216826537,21621.1087581332
"8","APBB2",665.493538594181,-4.93650997149793,0.334199897495693,-14.7711295200549,2.2491179400349e-49,3.76727254955846e-46,1252.50083038301,38.8626900889262,1325.03109777583,45.5795361289594
"9","BATF",1589.16481065457,3.76077756141318,0.259924374473755,14.4687375665606,1.90944622894747e-47,2.84295327421067e-44,205.401205695609,2768.60682911295,229.458898408306,3153.19230940141
"10","HOMER2",1496.60462073309,3.73440095709648,0.260527213967781,14.3340148624869,1.34136442571991e-46,1.79742833046468e-43,192.005474889374,2690.8814489351,223.816466480232,2879.71509262765
"11","PRKCE",2960.46072864068,-2.86931150942026,0.215533178093261,-13.3126209839429,1.95501145391108e-40,2.38155940749168e-37,4992.14234712371,746.307585596602,5424.25789352093,679.135088321495
"12","GLIPR1",1475.2360573677,-3.81065628070934,0.289286872116239,-13.1725862733867,1.26199333044371e-39,1.40922588566214e-36,3063.15711102582,219.502231057824,2445.99424081968,172.290646567466
"13","PDE3B",1434.79544403447,-3.32990295516842,0.255007062159229,-13.0580813212506,5.71500478829821e-39,5.89085108947662e-36,2513.93214797017,238.933576102287,2705.54610951105,280.76994255439
"14","ARID5A",4144.39791670987,2.91587857979168,0.228274344566347,12.7735711401602,2.30338862917002e-37,2.20467197363417e-34,1002.44718866661,6569.9536633668,938.524510702824,8066.66630410323
"15","NR1D2",2040.09643752279,-2.95164407648534,0.236133923457321,-12.499873094341,7.47705499198562e-36,6.67950245950715e-33,3322.14123994637,460.594845498385,3903.62248890523,474.027175741178
"16","FOSL2",4846.79147423504,4.26037983012646,0.34599173839217,12.3135305193255,7.65976525203805e-35,6.41505339858187e-32,372.847840773551,7032.70754720346,583.991704555565,11397.6188044076
